Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
461,2016-12-01 6:01,2016-12-01 6:09,3233,E 48 St & 5 Ave,40.75724568,-73.97805914,499,Broadway & W 60 St,40.76915505,-73.98191841,23018,Subscriber,1966,1
244,2016-12-01 6:12,2016-12-01 6:16,450,W 49 St & 8 Ave,40.76227205,-73.98788205,499,Broadway & W 60 St,40.76915505,-73.98191841,22198,Subscriber,1987,1
541,2016-12-01 6:13,2016-12-01 6:22,529,W 42 St & 8 Ave,40.7575699,-73.99098507,499,Broadway & W 60 St,40.76915505,-73.98191841,20825,Subscriber,1986,2
2141,2016-12-01 6:21,2016-12-01 6:57,415,Pearl St & Hanover Square,40.7047177,-74.00926027,499,Broadway & W 60 St,40.76915505,-73.98191841,22053,Subscriber,1961,1
868,2016-12-01 6:36,2016-12-01 6:50,466,W 25 St & 6 Ave,40.74395411,-73.99144871,499,Broadway & W 60 St,40.76915505,-73.98191841,23316,Subscriber,1989,1
1286,2016-12-01 7:03,2016-12-01 7:25,3290,E 89 St & York Ave,40.7779453,-73.946041,499,Broadway & W 60 St,40.76915505,-73.98191841,24864,Subscriber,1958,1
1769,2016-12-01 7:08,2016-12-01 7:38,3263,Cooper Square & E 7 St,40.7292365,-73.99086803,499,Broadway & W 60 St,40.76915505,-73.98191841,14823,Subscriber,1992,2
843,2016-12-01 7:09,2016-12-01 7:23,3140,1 Ave & E 78 St,40.77140426,-73.9535166,499,Broadway & W 60 St,40.76915505,-73.98191841,20381,Subscriber,1987,2
329,2016-12-01 7:10,2016-12-01 7:16,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,499,Broadway & W 60 St,40.76915505,-73.98191841,23060,Subscriber,1958,2
1031,2016-12-01 7:13,2016-12-01 7:30,507,E 25 St & 2 Ave,40.73912601,-73.97973776,499,Broadway & W 60 St,40.76915505,-73.98191841,24246,Subscriber,1988,1
1065,2016-12-01 7:17,2016-12-01 7:35,3363,E 102 St & Park Ave,40.7904828,-73.95033068,499,Broadway & W 60 St,40.76915505,-73.98191841,22875,Subscriber,1978,1
360,2016-12-01 7:19,2016-12-01 7:25,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,499,Broadway & W 60 St,40.76915505,-73.98191841,23043,Subscriber,1985,2
851,2016-12-01 7:25,2016-12-01 7:39,3140,1 Ave & E 78 St,40.77140426,-73.9535166,499,Broadway & W 60 St,40.76915505,-73.98191841,18023,Subscriber,1987,1
1483,2016-12-01 7:48,2016-12-01 8:13,433,E 13 St & Avenue A,40.72955361,-73.98057249,499,Broadway & W 60 St,40.76915505,-73.98191841,17427,Subscriber,1982,2
