Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
528,2016-12-01 0:00,2016-12-01 0:08,499,Broadway & W 60 St,40.76915505,-73.98191841,228,E 48 St & 3 Ave,40.7546011,-73.97187886,26931,Subscriber,1964,1
446,2016-12-01 5:17,2016-12-01 5:24,499,Broadway & W 60 St,40.76915505,-73.98191841,495,W 47 St & 10 Ave,40.76269882,-73.99301222,25030,Subscriber,1993,2
283,2016-12-01 6:43,2016-12-01 6:48,499,Broadway & W 60 St,40.76915505,-73.98191841,530,11 Ave & W 59 St,40.771522,-73.990541,23018,Subscriber,1962,1
615,2016-12-01 6:58,2016-12-01 7:08,499,Broadway & W 60 St,40.76915505,-73.98191841,519,Pershing Square North,40.751873,-73.977706,23316,Subscriber,1986,2
243,2016-12-01 7:09,2016-12-01 7:13,499,Broadway & W 60 St,40.76915505,-73.98191841,500,Broadway & W 51 St,40.76228826,-73.98336183,22053,Subscriber,1982,1
775,2016-12-01 7:14,2016-12-01 7:27,499,Broadway & W 60 St,40.76915505,-73.98191841,359,E 47 St & Park Ave,40.75510267,-73.97498696,22198,Subscriber,1966,1
594,2016-12-01 7:21,2016-12-01 7:31,499,Broadway & W 60 St,40.76915505,-73.98191841,359,E 47 St & Park Ave,40.75510267,-73.97498696,23060,Subscriber,1985,1
996,2016-12-01 7:31,2016-12-01 7:48,499,Broadway & W 60 St,40.76915505,-73.98191841,501,FDR Drive & E 35 St,40.744219,-73.97121214,23043,Subscriber,1976,1
520,2016-12-01 7:43,2016-12-01 7:52,499,Broadway & W 60 St,40.76915505,-73.98191841,267,Broadway & W 36 St,40.75097711,-73.98765428,22875,Subscriber,1978,1
469,2016-12-01 7:47,2016-12-01 7:55,499,Broadway & W 60 St,40.76915505,-73.98191841,456,E 53 St & Madison Ave,40.7597108,-73.97402311,24864,Subscriber,1977,1
573,2016-12-01 7:53,2016-12-01 8:03,499,Broadway & W 60 St,40.76915505,-73.98191841,359,E 47 St & Park Ave,40.75510267,-73.97498696,24246,Subscriber,1982,2
254,2016-12-01 8:10,2016-12-01 8:14,499,Broadway & W 60 St,40.76915505,-73.98191841,530,11 Ave & W 59 St,40.771522,-73.990541,22272,Subscriber,1980,1
1465,2016-12-01 8:18,2016-12-01 8:42,499,Broadway & W 60 St,40.76915505,-73.98191841,519,Pershing Square North,40.751873,-73.977706,27003,Subscriber,1960,1
243,2016-12-01 8:18,2016-12-01 8:22,499,Broadway & W 60 St,40.76915505,-73.98191841,3356,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,20781,Subscriber,1990,1
654,2016-12-01 8:26,2016-12-01 8:37,499,Broadway & W 60 St,40.76915505,-73.98191841,493,W 45 St & 6 Ave,40.7568001,-73.98291153,18023,Subscriber,1989,2
245,2016-12-01 8:27,2016-12-01 8:31,499,Broadway & W 60 St,40.76915505,-73.98191841,530,11 Ave & W 59 St,40.771522,-73.990541,20381,Subscriber,1981,1
770,2016-12-01 8:27,2016-12-01 8:40,499,Broadway & W 60 St,40.76915505,-73.98191841,3231,E 67 St & Park Ave,40.7678008,-73.96592081,17427,Subscriber,1989,1
858,2016-12-01 8:27,2016-12-01 8:41,499,Broadway & W 60 St,40.76915505,-73.98191841,2017,E 43 St & 2 Ave,40.75022392,-73.97121414,14823,Subscriber,1984,1
461,2016-12-01 8:32,2016-12-01 8:40,499,Broadway & W 60 St,40.76915505,-73.98191841,3223,E 55 St & 3 Ave,40.75899656,-73.96865398,25444,Subscriber,1988,1
760,2016-12-01 8:36,2016-12-01 8:49,499,Broadway & W 60 St,40.76915505,-73.98191841,3141,1 Ave & E 68 St,40.76500525,-73.95818491,19618,Subscriber,1977,1
1443,2016-12-01 8:37,2016-12-01 9:01,499,Broadway & W 60 St,40.76915505,-73.98191841,3243,E 58 St & 1 Ave,40.75892386,-73.96226227,26552,Subscriber,1968,1
1400,2016-12-01 8:39,2016-12-01 9:02,499,Broadway & W 60 St,40.76915505,-73.98191841,503,E 20 St & Park Ave,40.73827428,-73.98751968,22843,Subscriber,1983,1
768,2016-12-01 8:41,2016-12-01 8:54,499,Broadway & W 60 St,40.76915505,-73.98191841,454,E 51 St & 1 Ave,40.75455731,-73.96592976,20933,Subscriber,1993,1
603,2016-12-01 8:49,2016-12-01 8:59,499,Broadway & W 60 St,40.76915505,-73.98191841,3359,E 68 St & Madison Ave,40.7691572,-73.96703464,20825,Subscriber,1982,1
336,2016-12-01 8:50,2016-12-01 8:55,499,Broadway & W 60 St,40.76915505,-73.98191841,3159,W 67 St & Broadway,40.77492513,-73.98266566,19009,Subscriber,1977,2
1629,2016-12-01 8:57,2016-12-01 9:24,499,Broadway & W 60 St,40.76915505,-73.98191841,359,E 47 St & Park Ave,40.75510267,-73.97498696,24230,Subscriber,1981,1
3313,2016-12-01 9:10,2016-12-01 10:05,499,Broadway & W 60 St,40.76915505,-73.98191841,3282,5 Ave & E 88 St,40.78307,-73.95939,22083,Customer,,0
3320,2016-12-01 9:10,2016-12-01 10:05,499,Broadway & W 60 St,40.76915505,-73.98191841,3282,5 Ave & E 88 St,40.78307,-73.95939,14987,Customer,,0
230,2016-12-01 9:12,2016-12-01 9:16,499,Broadway & W 60 St,40.76915505,-73.98191841,530,11 Ave & W 59 St,40.771522,-73.990541,18777,Subscriber,1961,2
705,2016-12-01 9:15,2016-12-01 9:27,499,Broadway & W 60 St,40.76915505,-73.98191841,3135,E 75 St & 3 Ave,40.77112927,-73.95772297,23010,Subscriber,1973,1
1105,2016-12-01 9:19,2016-12-01 9:37,499,Broadway & W 60 St,40.76915505,-73.98191841,486,Broadway & W 29 St,40.7462009,-73.98855723,24888,Subscriber,1945,2
994,2016-12-01 9:22,2016-12-01 9:39,499,Broadway & W 60 St,40.76915505,-73.98191841,3235,E 41 St & Madison Ave,40.75216528,-73.97992194,24998,Subscriber,1990,2
907,2016-12-01 9:27,2016-12-01 9:43,499,Broadway & W 60 St,40.76915505,-73.98191841,519,Pershing Square North,40.751873,-73.977706,26630,Subscriber,,0
1221,2016-12-01 9:32,2016-12-01 9:52,499,Broadway & W 60 St,40.76915505,-73.98191841,352,W 56 St & 6 Ave,40.76340613,-73.97722479,26363,Subscriber,1990,2
1175,2016-12-01 9:36,2016-12-01 9:56,499,Broadway & W 60 St,40.76915505,-73.98191841,3336,E 97 St & Madison Ave,40.787801,-73.953559,22925,Subscriber,1988,2
3848,2016-12-01 9:37,2016-12-01 10:41,499,Broadway & W 60 St,40.76915505,-73.98191841,3139,E 72 St & Park Ave,40.77118288,-73.96409422,26544,Subscriber,1953,1
844,2016-12-01 9:38,2016-12-01 9:52,499,Broadway & W 60 St,40.76915505,-73.98191841,490,8 Ave & W 33 St,40.751551,-73.993934,22108,Subscriber,1958,1
490,2016-12-01 9:41,2016-12-01 9:50,499,Broadway & W 60 St,40.76915505,-73.98191841,495,W 47 St & 10 Ave,40.76269882,-73.99301222,26043,Subscriber,1990,2
1270,2016-12-01 9:45,2016-12-01 10:07,499,Broadway & W 60 St,40.76915505,-73.98191841,3141,1 Ave & E 68 St,40.76500525,-73.95818491,14661,Subscriber,1985,1
255,2016-12-01 9:56,2016-12-01 10:00,499,Broadway & W 60 St,40.76915505,-73.98191841,422,W 59 St & 10 Ave,40.770513,-73.988038,20933,Subscriber,1976,1
3849,2016-12-01 10:01,2016-12-01 11:05,499,Broadway & W 60 St,40.76915505,-73.98191841,499,Broadway & W 60 St,40.76915505,-73.98191841,18417,Customer,,0
936,2016-12-01 10:03,2016-12-01 10:19,499,Broadway & W 60 St,40.76915505,-73.98191841,3231,E 67 St & Park Ave,40.7678008,-73.96592081,25957,Subscriber,1984,1
930,2016-12-01 10:08,2016-12-01 10:23,499,Broadway & W 60 St,40.76915505,-73.98191841,520,W 52 St & 5 Ave,40.75992262,-73.97648516,23470,Subscriber,1947,2
491,2016-12-01 10:16,2016-12-01 10:24,499,Broadway & W 60 St,40.76915505,-73.98191841,479,9 Ave & W 45 St,40.76019252,-73.9912551,23568,Subscriber,1979,1
