Price,Close,Close.1,Close.2,Close.3,Close.4,Close.5,Close.6,Close.7,Close.8,Close.9,Close.10,Close.11,Close.12,Close.13,Close.14,Close.15,Close.16,Close.17,Close.18,Close.19,Close.20,Close.21,High,High.1,High.2,High.3,High.4,High.5,High.6,High.7,High.8,High.9,High.10,High.11,High.12,High.13,High.14,High.15,High.16,High.17,High.18,High.19,High.20,High.21,Low,Low.1,Low.2,Low.3,Low.4,Low.5,Low.6,Low.7,Low.8,Low.9,Low.10,Low.11,Low.12,Low.13,Low.14,Low.15,Low.16,Low.17,Low.18,Low.19,Low.20,Low.21,Open,Open.1,Open.2,Open.3,Open.4,Open.5,Open.6,Open.7,Open.8,Open.9,Open.10,Open.11,Open.12,Open.13,Open.14,Open.15,Open.16,Open.17,Open.18,Open.19,Open.20,Open.21,Volume,Volume.1,Volume.2,Volume.3,Volume.4,Volume.5,Volume.6,Volume.7,Volume.8,Volume.9,Volume.10,Volume.11,Volume.12,Volume.13,Volume.14,Volume.15,Volume.16,Volume.17,Volume.18,Volume.19,Volume.20,Volume.21
Ticker,AAPL,BP.L,BT-A.L,CMCSA,FDX,GRI.L,GS,HSBA.L,IBM,JNJ,LAND.L,LLOY.L,MCD,MSFT,NG.L,NXT.L,PEP,PFE,SHEL.L,TSCO.L,VOD.L,WMT,AAPL,BP.L,BT-A.L,CMCSA,FDX,GRI.L,GS,HSBA.L,IBM,JNJ,LAND.L,LLOY.L,MCD,MSFT,NG.L,NXT.L,PEP,PFE,SHEL.L,TSCO.L,VOD.L,WMT,AAPL,BP.L,BT-A.L,CMCSA,FDX,GRI.L,GS,HSBA.L,IBM,JNJ,LAND.L,LLOY.L,MCD,MSFT,NG.L,NXT.L,PEP,PFE,SHEL.L,TSCO.L,VOD.L,WMT,AAPL,BP.L,BT-A.L,CMCSA,FDX,GRI.L,GS,HSBA.L,IBM,JNJ,LAND.L,LLOY.L,MCD,MSFT,NG.L,NXT.L,PEP,PFE,SHEL.L,TSCO.L,VOD.L,WMT,AAPL,BP.L,BT-A.L,CMCSA,FDX,GRI.L,GS,HSBA.L,IBM,JNJ,LAND.L,LLOY.L,MCD,MSFT,NG.L,NXT.L,PEP,PFE,SHEL.L,TSCO.L,VOD.L,WMT
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-02,171.73727416992188,518.3958129882812,115.56449127197266,37.862510681152344,251.5583038330078,229.59397888183594,300.6833190917969,638.5338745117188,130.2371063232422,143.9972686767578,582.3611450195312,43.226444244384766,243.0930176,315.70965576171875,948.6632690429688,7286.464844,155.0439910888672,28.945070266723633,2579.427246,261.5688781738281,76.68621826171875,51.934722900390625,172.28090596787308,535.3727523742893,118.2613337,38.058248045878585,253.08602019060993,236.18805259158765,305.47913455016607,651.0091380060645,130.83833730599136,144.2478640959969,597.9386818068217,44.645013022468284,247.16736720529838,315.7979787841784,985.8187603488425,7444.344910304101,155.33727721088388,28.962127269633484,2634.871944838213,267.5635815436543,77.88412542,51.98986600614135,168.94993390517055,517.4970704157331,115.28981944320562,37.52209455959029,250.08754708409086,228.19522488635477,299.3616399,636.6376710092018,129.36762340241773,142.29882795173137,580.5637463052076,43.226444244384766,242.81950040137042,309.21494955018176,948.6632690429688,7243.695575572342,153.3484778941586,27.938729868077004,2573.9327263983528,260.7695965874399,76.14715775,51.35406458614611,169.23658298137698,530.9787575752101,117.0127976313201,37.65826239,252.40282342004096,234.7893138412155,304.01585205678583,647.2166700866579,129.53411292475468,144.2478640959969,589.9501889010596,44.38028038506941,247.1013408553589,310.2941371,981.6237747081276,7316.442071576728,154.96150961129447,28.100769769075264,2614.392371428096,265.86510054991976,76.79602730686133,51.73684401,52164500,36107770,11079989,18453978,1913000,703342,1303800,31837619,3275300,7259700,1531827,102276009,4425000,20570000,9032638,473480,3838800,44620600,13744383,17437410,56203388,12992700
2023-10-03,170.40292358398438,515.1002807617188,112.86766052246094,37.22004318237305,246.8898162841797,227.7956085205078,288.9958190917969,643.9230957,129.85784912109375,144.1736297607422,573.7733764648438,42.77190017700195,240.0183868408203,307.4588928222656,930.8845825195312,7120.59082,153.6967010498047,28.91095733642578,2574.931641,259.3708190917969,75.82772064208984,51.60708999633789,171.61868620307462,521.6913641,115.16496993526115,37.80254470877687,251.92838159956256,228.99452972685685,298.0210358990288,655.2007196699409,131.0140732973675,144.32213181613778,584.5578887262295,43.45621201395797,243.61171383108504,315.3074873135017,946.8634219719737,7294.458740988107,155.80464909925374,29.090050973552692,2602.903739921799,261.5688585346499,77.27520014930411,52.14557615820412,168.84123947337378,513.7022164992198,111.91877615917268,37.10011547458156,246.04529669856478,225.39776610780973,287.3626127330034,635.0406853433782,129.49710774265893,142.8278635183164,569.5794671935863,42.63204171359075,239.43363346326396,305.32012806899473,920.0975202,7120.59082,153.08264911092428,28.748917447633463,2565.9406087081716,258.37170193850847,75.47833166314452,51.47409167686142,170.26454593815689,518.0962111201069,114.91526272171589,37.57982281907153,250.8181759901506,227.99542618071428,297.6339676053795,636.5377166906819,130.30183525284477,143.5610694,575.3711113,42.99167993999516,242.58370032550187,314.7580581543042,946.6656608891358,7242.498213,154.7598420117388,28.859786331550776,2569.4371211202715,261.26913558491765,76.51652149780244,51.80172430917861,49594600,28338046,30225869,18118194,2090300,1345071,3118600,25649014,3284400,5740800,1447254,77914964,3408100,21033500,7045107,394703,4873400,31059900,11507140,17798389,59394065,11253300
2023-10-04,171.64837646484375,498.7724609,112.9675293,37.23717498779297,246.75697326660156,227.39596557617188,291.3371276855469,639.2325439453125,130.48683166503906,144.3406524658203,583.5593262,42.417259216308594,241.26332092285156,312.92340087890625,936.0783691,6966.708008,154.80569458007812,28.407793045043945,2518.987793,270.46099853515625,75.03908539,52.22667313,172.1920084405094,517.6967656572659,114.61559824673678,37.33140240241444,248.13286498051121,234.18985726607386,291.77138752557227,646.1189142,130.60706937190446,144.72116938977175,589.5506947734451,42.94672831427159,241.6783025546915,313.9829777218184,953.0580235026816,7169.3289969033785,155.00732527714177,29.06447310349266,2584.9220362112396,271.4601155884954,76.24697719117792,52.24289234205083,168.9895342327991,494.7778873165407,111.91876368911463,36.97162278233875,242.6008762341203,226.39686206352633,286.5035416787304,637.7355122264711,129.48785236532953,143.45894480389416,568.5809046679495,42.157522606839095,239.56567533400437,308.0572815033295,931.4838378536265,6940.727742723125,153.11016753240236,28.151941221091423,2504.502239529112,260.7695509215136,74.92927635008343,51.58113794162819,169.10813936129497,515.1002562322286,112.16847087483737,37.16864437,246.86136543793305,231.3923796267541,287.7969001832365,641.0289698250469,129.8393348884037,144.38706111369663,568.9802926729757,42.40727095899945,240.81062022952418,308.0867125300766,937.4766570402347,7084.618441679665,154.38409930858575,28.945074067445645,2572.434490142586,261.96850358177363,75.46833682363675,51.78874687412623,53020300,65919171,29182535,22129580,2152600,2424754,1872000,35708961,2637600,4955200,2248386,254168072,2820000,20720100,15348916,373939,4134000,23722300,20058487,46607334,112324695,15755700
2023-10-05,172.8838653564453,498.37298583984375,114.41584777832031,36.85169601,245.91246032714844,237.9864501953125,293.1308288574219,643.2246704101562,130.90306091308594,145.84422302246094,584.5579833984375,42.12755203,237.8869171142578,313.31585693359375,946.4658813476562,7036.654297,146.73130798339844,28.54424476623535,2529.977051,280.1524353027344,75.96746826171875,51.60384750366211,173.41760341955526,500.61993353159454,114.46578464852838,37.348536874413135,246.7854163,237.9864501953125,293.17802036526626,648.5141706449276,131.0695504,146.67952218923926,590.9487410523031,42.55212729816448,243.18734515666785,313.92414811592056,951.6596701439289,7086.616341016402,154.71399624077117,28.80862020294618,2538.468582837179,281.6511109878317,75.96746826171875,52.21369597250495,170.67968657288918,488.88587336356284,112.26836422742971,36.731771795789136,244.32781337163686,229.79380456002065,287.1926793621136,635.5398949035281,129.67283687797442,144.8511457535993,580.9631250799852,41.99768563,237.27388517199518,308.9402741782087,935.8785918861887,6952.718062717446,146.52050341383048,28.186054178062246,2480.5263641026036,272.4592517,74.69269176536956,51.577894530338675,171.77682905786853,496.4256494593669,113.1173672255606,37.22004240636184,245.47598236430966,232.79111505428176,290.16646461741885,640.7296174,130.3295642089949,145.03676621711298,586.5551065929011,42.48219806140829,241.4425397962329,313.0509776654909,942.8702142375263,6974.701362139662,154.6773424808642,28.527187761723205,2513.992990440677,273.4583688703472,75.31859873,52.04825922480284,48527900,29909637,19267457,18792324,1460100,1138004,1584600,21812777,3223900,5993300,966422,121200278,3799600,16965600,4993557,210736,10556400,21279400,18742304,26587600,71572881,14269500
2023-10-06,175.43399047851562,504.91412353515625,113.81653594970703,37.23717498779297,244.7168731689453,239.7848358154297,295.00006103515625,653.4044189453125,131.37478637695312,146.3082733154297,589.5507813,42.582096099853516,234.1049346923828,321.0663757324219,934.4802246,7208.524414,146.90545654296875,28.25428009033203,2578.928223,278.1541748046875,74.66973876953125,50.73772430419922,175.92819856079907,508.9086972490797,115.96401934168352,37.35709920336764,247.11754554212607,240.78393929799398,297.6811896307835,656.3984822113692,132.2165207833417,146.92083355749364,593.5450275702646,42.86181304830774,236.55709107007183,322.95984189117127,950.4610754,7208.524414,147.48285475128145,28.62099752678444,2587.4197546696446,283.34959555228596,76.71616412275861,51.57464921263667,171.17390414032383,495.72659180266083,111.81887839818636,36.31202739331262,244.17600301242177,234.58950075511723,289.98710164957106,640.7295389361312,129.59882811843556,145.33374823249758,579.1657164383672,41.82286274939594,231.75652372431364,310.31378015794706,916.9013131431084,7042.650411742792,142.81788334233605,28.203109080609348,2513.9929778479386,275.8562178339989,73.72138862584332,49.19363193,171.78673241813826,499.5214551165954,115.1150164,36.586142874634014,245.9409401132866,236.78752536773683,290.8744921,648.3144748443923,130.79204500113616,145.7885304,588.5522196699338,42.13754431640694,235.78371358179757,310.55904872586825,949.0627875176739,7060.636749343725,145.52154961368134,28.586883520302653,2535.971060706136,281.7510022075916,76.12719526409708,51.46435557417357,57266700,32751712,10791644,25039289,1580600,1238651,1595100,37660935,3511100,5802200,1176061,80179745,5130700,25673600,7265546,277328,12774700,23760400,11014604,22319226,56888715,42616200
2023-10-09,176.9166259765625,519.5941162109375,115.11502838134766,37.768280029296875,242.64830017089844,236.1880645751953,295.1227722167969,643.7236328,131.5320587158203,147.1436004638672,580.3640137,42.06761551,235.70826721191406,323.5778809,947.6645508,6894.762695,147.88612365722656,28.313976287841797,2646.360595703125,274.1577148,75.96746826171875,50.55282211303711,176.97592853708252,523.1892688,115.3767225842023,37.89677451,243.73950955169306,244.78036089231645,295.9441291448008,651.3085690814395,131.71705176015035,147.45917087293503,586.9544958479604,42.612065119387346,235.7742935611644,324.04877728616253,954.6561738217388,7154.565347599638,147.94111130184584,28.544240937936646,2662.444651582503,279.8526942753118,76.43665096,50.55606669859354,173.7635757979471,513.3026753763669,112.86766340210225,37.142951622273245,239.9534766115712,236.1880645751953,291.11996446664244,640.2305588359981,130.12608617359587,145.7978342177383,577.3683288741338,41.95572872850854,233.19952498013274,317.0635342,938.0760635677115,6886.768767549819,145.39324788038485,27.947258873241537,2612.893974353161,273.5582385103278,74.45311186,49.71589723181975,174.76187075811515,515.7992837196372,113.51690369797618,37.22861228368991,241.96510342644902,244.78036089231645,291.6203154354117,650.1109924495682,131.62456229501763,145.88136131340238,577.5680533834559,42.26741496462338,233.6333733565167,318.6038277713841,939.2746397099326,7154.565347599638,146.6396857688057,28.19458052556088,2617.3894906539026,277.7545423536505,75.11895008300601,50.30628558351472,42390800,41660240,21297866,16788818,1725900,691503,1094400,18973365,2354400,4414100,1059599,199447444,2782300,19891200,6072943,395653,7244500,17468100,12749107,25074815,89185962,21022500
2023-10-10,176.3235321044922,524.3875122070312,118.11151123046875,38.09379959106445,243.66360473632812,239.3852081298828,297.1619567871094,656.498291,131.44882202148438,146.9765167236328,601.7331543,43.32634353637695,237.21726989746094,322.17498779296875,963.8451538085938,7030.658691,150.67225646972656,28.288387298583984,2660.346923828125,280.1524353027344,77.25521850585938,51.123741149902344,177.63812721273464,525.0865746271925,118.86063286617997,38.25655765192161,245.95988473036002,241.3834151585292,299.1256190488943,659.2927380132846,132.66054276730517,147.8211060640413,604.5291753420047,43.58608395952535,239.01864643560958,324.83369063109717,968.8391701495709,7118.591887091831,151.3871237476067,28.48454118462801,2664.7126871839396,280.1524353027344,77.63455396361825,51.279447828753554,175.88862664528037,512.5536148424582,116.22172875776414,37.53699826778847,242.30669490127121,237.5868187550791,294.82070484248527,646.9173124766846,131.08808062300287,146.5495769395137,582.3610972,41.82785340713726,236.25526836801274,321.46861313435045,941.4719362161707,6872.778635516229,148.50016081652527,28.151934543047034,2610.8962393634265,272.1594983155486,76.54645594167162,50.494425264084505,176.0368980965743,521.4914835411391,116.26367938647294,37.896777959855044,242.54391558415236,239.5850257837255,296.87875011975785,648.7137383384389,131.90206700483412,146.99508301735955,587.9530173563662,42.48219668828833,237.4058939800148,324.6963258646944,957.2530766233493,6944.723977440795,150.53478737192222,28.211635673554117,2649.3578828359696,276.7554431813074,76.71615804518686,50.679329497454106,43698000,29229090,35026673,16600813,1501000,1466804,1193800,34573439,3015800,5273500,2190050,101122156,3129600,20557100,13940537,983305,11456400,19212100,12817695,42153295,83901550,16014300
2023-10-11,177.71722412109375,519.5941162109375,119.45993041992188,37.89677810668945,242.40159606933594,243.98109436035156,295.5098571777344,657.6959838867188,132.48475646972656,144.95323181152344,608.3236694335938,43.231441497802734,236.65138244628906,326.1286926269531,967.4407958984375,6870.780762,149.04090881347656,28.237220764160156,2643.36377,280.8518371582031,77.37502289,51.32810974121094,177.76664794425923,535.0730879392131,120.3089334288769,38.487843002607825,243.78697126863182,244.78038028376974,298.9179311389551,660.1910369363649,132.58650473830622,147.61693586351447,610.5205168921673,43.546123051177474,238.3207350729047,326.5211163115986,977.2291164405576,7106.601625559009,151.62544003400296,28.42484453108442,2691.815448602401,281.65111868250403,78.04385429353009,51.736842127421454,175.54271164011269,518.6953737787715,117.46227269510558,37.768283615686684,239.66880908924642,238.1862904719585,294.1693071754891,649.8115918840846,131.47653260820363,144.82329606473857,596.9400441147579,42.973697965487304,235.20838735261802,322.9107705088474,958.4515667196748,6868.7822798217985,148.10609086893126,27.989899117449163,2637.369747378118,276.8553685554272,76.76608455910444,50.94208945,176.13575227199846,526.9841012879583,118.31127570406062,38.23942427156924,243.3884277683672,238.58594105622308,297.78504682371147,654.1031318609807,131.81877036885274,147.06935051363072,598.9371670866691,43.14153194,238.22641583640404,324.9415713,966.8415383380315,7000.682085020588,151.23133859943349,28.34808964945999,2662.8443415289294,278.75368504361865,77.25522911954054,51.337843497640435,47551100,34467712,19678878,17968600,2149200,2428244,1672500,17751343,2511500,6922900,1566661,100458208,2919400,20063200,6040072,423765,7371500,24221200,18587051,11714182,65984170,12026100
