Price,Close,Close.1,Close.2,Close.3,Close.4,Close.5,Close.6,Close.7,Close.8,Close.9,Close.10,Close.11,Close.12,Close.13,Close.14,Close.15,Close.16,Close.17,Close.18,Close.19,Close.20,Close.21,High,High.1,High.2,High.3,High.4,High.5,High.6,High.7,High.8,High.9,High.10,High.11,High.12,High.13,High.14,High.15,High.16,High.17,High.18,High.19,High.20,High.21,Low,Low.1,Low.2,Low.3,Low.4,Low.5,Low.6,Low.7,Low.8,Low.9,Low.10,Low.11,Low.12,Low.13,Low.14,Low.15,Low.16,Low.17,Low.18,Low.19,Low.20,Low.21,Open,Open.1,Open.2,Open.3,Open.4,Open.5,Open.6,Open.7,Open.8,Open.9,Open.10,Open.11,Open.12,Open.13,Open.14,Open.15,Open.16,Open.17,Open.18,Open.19,Open.20,Open.21,Volume,Volume.1,Volume.2,Volume.3,Volume.4,Volume.5,Volume.6,Volume.7,Volume.8,Volume.9,Volume.10,Volume.11,Volume.12,Volume.13,Volume.14,Volume.15,Volume.16,Volume.17,Volume.18,Volume.19,Volume.20,Volume.21
Ticker,ABNB,ADBE,AMZN,BARC.L,BNTX,DASH,EXPE,FDX,FOXT.L,GOOGL,JD.L,META,MKS.L,MRNA,ORCL,PLTR,SHOP,SNOW,SVS.L,TSLA,UBER,ZM,ABNB,ADBE,AMZN,BARC.L,BNTX,DASH,EXPE,FDX,FOXT.L,GOOGL,JD.L,META,MKS.L,MRNA,ORCL,PLTR,SHOP,SNOW,SVS.L,TSLA,UBER,ZM,ABNB,ADBE,AMZN,BARC.L,BNTX,DASH,EXPE,FDX,FOXT.L,GOOGL,JD.L,META,MKS.L,MRNA,ORCL,PLTR,SHOP,SNOW,SVS.L,TSLA,UBER,ZM,ABNB,ADBE,AMZN,BARC.L,BNTX,DASH,EXPE,FDX,FOXT.L,GOOGL,JD.L,META,MKS.L,MRNA,ORCL,PLTR,SHOP,SNOW,SVS.L,TSLA,UBER,ZM,ABNB,ADBE,AMZN,BARC.L,BNTX,DASH,EXPE,FDX,FOXT.L,GOOGL,JD.L,META,MKS.L,MRNA,ORCL,PLTR,SHOP,SNOW,SVS.L,TSLA,UBER,ZM
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-03,132.35000610351562,485.2099914550781,130.22000122070312,155.46420288085938,107.81999969482422,78.70999908447266,111.6446533203125,233.74053955078125,36.93399429321289,118.91715240478516,145.9626465,283.7929688,195.70413208007812,121.7300033569336,113.47783660888672,15.520000457763672,64.84999847,176.99000549316406,853.9645996,279.82000732421875,43.09000015258789,68.29000091552734,134.27000427246094,486.6099853515625,131.85000610351562,156.60306100935952,109.30000305175781,78.76000213623047,112.34744258354742,234.51478873453433,38.078498745163685,119.2047761131289,148.16208057220362,287.14665610377796,195.70413208007812,122.94000244140625,114.54335470953109,15.59000015258789,66.41999816894531,178.10000610351562,859.9608402151752,284.25,43.400001525878906,69.31999969482422,129.22999572753906,479.8399963378906,130.07000732421875,154.16551651451846,107.25,76.73999786376953,108.25938417563039,232.44695457593488,36.73408016913923,117.84600360823359,143.4132958406914,282.6320956075144,192.1649682811922,120.12000274658203,113.1678676,15.18999958,64.37000274658203,174.64999389648438,847.9683590035748,275.1099853515625,42.58000183105469,67.73000336,129.27999877929688,486.3900146484375,130.82000732421875,154.42525073908396,107.41999816894531,76.73999786376953,108.31877247756222,233.32508244397422,37.683669398705526,118.26255895127434,146.86241012102323,284.46769711960735,193.50465063264744,121.75,114.31087977981198,15.489999771118164,65.04000091552734,176,854.963973,276.4899902,43.16999816894531,67.73000336,5001800,1491000,28264800,28280882,346200,1750100,1625000,1281600,324913,14467900,4983611,8629300,3520790,1782000,4284700,26037400,7509500,2665300,422410,119685900,7578100,1623100
2023-07-04,132.02000427246094,486.23500061035156,130.3000030517578,152.40725708007812,108.45000076293945,78.88999938964844,111.02599716186523,234.1040496826172,36.73408126831055,119.83456420898438,147.6621856689453,287.93544006347656,192.15493774414062,122.63500213623047,112.90148162841797,15.610000133514404,64.64500045776367,174.77000427246094,855.9633789,281.15000915527344,43.375,67.97000122070312,,,,156.08358065320465,,,,,37.43377881698258,,148.1620576686742,,195.0542670237299,,,,,,866.9564871000255,,,,,,,151.82783593700609,,,,,36.73408126831055,,144.6629536705718,,191.25515484146123,,,,,,852.4655718,,,,,,,154.8847698780144,,,,,36.73408126831055,,145.66269767002964,,194.45440158513574,,,,,,852.4655718,,,,,,,17870487,,,,,39657,,9955670,,2603664,,,,,,262708,,,
2023-07-05,131.69000244140625,487.2600098,130.3800048828125,149.88978576660156,109.08000183105469,79.06999969482422,110.40734100341797,234.46755981445312,35.98440170288086,120.7519760131836,145.2128448486328,292.0779113769531,192.60482788085938,123.54000091552734,112.32512664794922,15.699999809265137,64.44000244140625,172.5500030517578,829.9797363,282.4800109863281,43.65999984741211,67.65000153,132.9499969482422,489.4100036621094,131.39999389648438,152.50517630661147,112.37000274658203,79.18000030517578,111.93170360724267,236.40318973266278,37.33381524152112,121.60492692137657,147.96214139482035,295.79871236153565,193.65458476362812,128.97999572753906,113.34221639183161,15.770000457763672,64.73000336,175.90199279785156,864.4581239299556,283.8500061035156,43.880001068115234,68.34700012207031,130.53500366210938,479.7300109863281,129.63999938964844,149.2504270909302,107.5,77.65000153,109.45709046179736,232.45637653265717,35.25471845924888,118.25263659472891,145.11286432681712,284.13027078429906,189.24161814366082,122.51000213623047,111.79237133611323,15.229999542236328,63.06999969482422,170.6300048828125,826.4819288902581,277.6000061035156,42.88999938964844,67.18000030517578,131.84500122070312,480.9899902,130.24000549316406,150.8488314018652,107.68000030517578,78.41999816894531,111.42688041103423,232.47526487355375,36.03437927597042,118.26254917337135,146.21258904724647,285.41023480138307,193.45463470386542,122.88999938964844,112.86757056988961,15.425000190734863,64.62999725341797,175,859.4612561615744,278.82000732421875,42.88999938964844,67.81999969482422,3429900,2190000,35895400,43163289,816400,1922600,1873300,1613300,471275,27584800,11828641,33865500,3501416,5001200,8466500,39179900,12541100,6166800,132676,131530900,15730400,2228300
2023-07-06,128.16000366210938,481.2900085449219,128.36000061035156,146.55313110351562,105.76000213623047,76.98999786376953,107.89312744140625,233.85382080078125,35.284706115722656,119.12543487548828,137.97105407714844,289.7164611816406,185.8064422607422,118.29000091552734,111.83110809326172,15.130000114440918,61.83000183105469,172.19000244140625,802.4968262,276.5400085449219,42.11000061035156,64.69000244140625,129.322998,482.5,128.72999572753906,148.62605070897698,108.25499725341797,78.52999877929688,108.74439492262046,235.42122178514578,36.61212989779388,119.31387982882194,144.21974312049755,295.79873585225204,192.3548947153789,123.2699966430664,112.1798241455273,15.383000373840332,63.29999923706055,173.1020050048828,821.4849204399517,279.9700012207031,43,66.59300231933594,126.05999755859375,475,127.37000274658203,145.7739132048049,105.02999877929688,75.06500244140625,106.55683792384615,232.89071708167273,35.284706115722656,117.42945299604987,136.9712638302126,289.0417631500449,185.8064422607422,117.11000061035156,111.04650067078612,14.619999885559082,61.439998626708984,167.48500061035156,799.4987060242839,272.8800048828125,41.869998931884766,64.33000183105469,129.1699981689453,479.9899902,128.25,147.75192669818495,108.02999877929688,77.66999816894531,108.13068817628103,232.89071708167273,36.23429530706855,118.81797842897954,144.21974312049755,293.5861187368782,191.75504451044768,122.51000213623047,111.07555911010093,15.319999694824219,63.04999923706055,169.82000732421875,814.9889934535045,278.0899963378906,42.99000168,66.37000274658203,3733600,2100900,40639900,38697741,708800,3734900,2349000,1712900,184085,24745200,16304850,47600500,9287319,4849400,7982800,56534000,13301200,4744200,179753,120332100,17983600,3178300
2023-07-07,130.32000732421875,485.2699890136719,129.77999877929688,148.57110595703125,106.86000061035156,77.94999694824219,110.74388885498047,237.2341309,35.98440170288086,118.50059509277344,140.97042846679688,288.2677917480469,191.45510864257812,118.87000274658203,111.01744079589844,15.34000015258789,61.66999816894531,170.61000061035156,812.4906616210938,274.42999267578125,42.90999984741211,65.66999816894531,131.6199951171875,490.4200134277344,130.97000122070312,149.29038632801195,107.63999938964844,78.73999786376953,111.76343585215876,239.00926050867014,36.83203384926552,120.05772509699975,141.67027860664902,293.8936557099863,192.60483295792912,120.13999938964844,112.3444995,15.899999618530273,63.33000183105469,176.41000366210938,815.9884688974454,280.7799987792969,43.119998931884766,66.22000122070312,128.05999755859375,479.8599853515625,128.1300048828125,146.03364041398484,105.51000213623047,77.04000091552734,108.08121014747988,232.9945983191776,35.034812562001505,118.42124905726847,135.8714919732091,286.4123573169168,183.75691672470225,117.81500244140625,110.90119964989837,15.18999958,61.599998474121094,170.49000549316406,800.9978662845101,273.7699890136719,41.941001892089844,64.55000305175781,128.16000366210938,481.9800109863281,128.58999633789062,146.03364041398484,105.66000366210938,77.36000061035156,108.19998674961774,232.9945983191776,35.98440170288086,119.1155079508008,138.07104277787136,289.9049379943408,187.20610492596737,118.01000213623047,111.24022708792705,15.229999542236328,62.11000061035156,173.3699951171875,803.9959868070971,278.42999267578125,42.06999969482422,64.73999786376953,3149200,2325000,41992300,29450409,327400,2402500,2114400,2423500,364510,21709500,7138015,25586000,9013641,2436900,7001600,48273300,7984100,3212300,154397,113879200,14937600,2190200
2023-07-10,131.7100067138672,496.3500061035156,127.12999725341797,148.57110595703125,107.43000030517578,77.61000061035156,113.16900634765625,237.64956665039062,36.23429489135742,115.49542236328125,141.02041625976562,291.8100280761719,192.6548309326172,123.08999633789062,110.79464721679688,16.299999237060547,61.88999938964844,169.64999389648438,816.987793,269.6099853515625,42.779998779296875,67.62000274658203,133.33900451660156,499.20001220703125,129.27999877929688,149.35032381834162,108.91999816894531,78.44000244140625,113.70352367520216,238.44270409626154,37.233861646981076,117.34017600620315,141.97021393568247,295.8086477039445,193.25469640361868,123.5999984741211,111.4242738252901,16.329999923706055,62.040000915527344,170.47999572753906,816.987793,277.5199890136719,43.20000076293945,67.66000366210938,129.61000061035156,485.1099853515625,125.91999816894531,147.31237292957118,107.13999938964844,76.83000183105469,110.12028124324763,235.41178085397516,35.86745331246077,115.18796594507899,139.17079821541049,284.8149039740183,188.55580106481585,118.63999938964844,110.09722251087868,14.944999694824219,60.50999832,162.60000610351562,805.9946850511277,265.1000061035156,42.439998626708984,64.59999847,130.17999267578125,485.2699890136719,129.07000732421875,147.61206038121955,107.62000274658203,78.01000213623047,110.33804840097963,236.48818578982372,36.23429489135742,117.33026342725442,139.97063345771508,293.24871963934146,188.55580106481585,118.87000274658203,110.6977832901619,15.369999885559082,61.25,166.52999877929688,805.9946850511277,276.4700012207031,42.58000183105469,64.69999694824219,4052000,3352600,61889300,23448396,481300,2194900,2350900,1573000,19131,35315200,7344713,37058300,7495999,3401800,6931000,62823600,8457600,6857300,279631,119425400,15821800,3439400
2023-07-11,137.5399932861328,504.7399902,128.77999877929688,149.7099609,107.9000015258789,79.84999847,115.77230072021484,243.9852752685547,35.98440170288086,116.17977142333984,144.4696807861328,295.9674377441406,193.60458374023438,122.12999725341797,111.66950225830078,16.489999771118164,63.150001525878906,172.0500030517578,849.9671630859375,269.7900085449219,44.36000061035156,69.73999786376953,138.08999633789062,506.0299987792969,129.77000427246094,149.86980440411344,108.72000122070312,80.01999664,116.64336183045039,244.43850907427264,36.13433823519396,116.74509867791642,145.41947840454353,297.8427059212955,195.11623784718535,124.5,111.78615134692222,16.93000030517578,63.279998779296875,174.3439941,850.4668498367229,270.8999938964844,44.66999816894531,69.88500213623047,128.77000427246094,491.7600098,127.3499984741211,148.0915877576968,106.73999786376953,77.38999938964844,113.71342076665447,237.9234135910299,35.78448759747819,114.40444362500358,140.6704750569025,289.6271775662314,191.1551613065687,121.20500183105469,110.26002766431142,16.149999618530273,62.11000061035156,169.32000732421875,818.4868977864584,266.3699951171875,41.74599838256836,67.66000366210938,129.4499969482422,497.2799987792969,127.75,148.23144698010557,106.98999786376953,77.61000061035156,114.02027793260473,237.94230193483105,36.13433823519396,115.33674061449469,142.22015288461864,291.61160499769574,191.85499410830016,123.44000244140625,111.0085055884718,16.469999313354492,62.25,171.1999969482422,820.4856447895999,268.6499938964844,42.099998474121094,67.73999786376953,10045600,2842600,49951500,48047287,455300,1999300,2643600,3039400,128463,23078800,12759489,27585900,4743495,2127300,6117100,63236600,8330100,4267400,563421,91972400,32165000,3459000
2023-07-12,137.02000427246094,507.3599853515625,130.8000030517578,154.6450195,109,80.58999633789062,114.86164855957031,247.01614379882812,36.434207916259766,117.9551010131836,150.11851501464844,306.9313659667969,198.10354614257812,125.91999816894531,112.77764129638672,16.59000015258789,65.94000244140625,171.92999267578125,872.4530029296875,271.9899902,44.52000045776367,69.80000305175781,140.32000732421875,510.7900085449219,131.25999450683594,156.98267309870604,110.23999786376953,81.34999847,117.79158971688595,247.97926181922887,36.98396885281433,119.34362637246984,150.58442073520044,307.04052521355806,199.26628316848266,127.37999725341797,114.78979169994791,16.940000534057617,65.94999694824219,175.75999450683594,885.9445442121054,276.5199890136719,45.220001220703125,70.94999694824219,135.52000427246094,500.0100098,128.8300018310547,150.32933733578142,108.18000030517578,79.44000244140625,114.55479893574585,244.93888748681672,35.78448801930335,117.4393669141167,144.4197130683223,297.7633215569858,191.80503511111144,123.55000305175781,112.40826364443394,16.40999984741211,63.70000076293945,170.22000122070312,835.4761860815793,271.4599914550781,43.970001220703125,68.94000244140625,139.35000610351562,509.4100036621094,130.30999755859375,150.62904002882988,109,81.19000244140625,117.48474009306149,245.42986905543833,36.13433866114313,117.82616938013048,144.96960081217614,299.4004680187438,192.95475944092843,124.45999908447266,112.43742406219607,16.780000686645508,64.37000274658203,175.08999633789062,855.4636546481242,276.3299865722656,45,70.25,5583600,3027400,54022800,47980417,557700,2463500,1964400,2068300,434431,30404400,8709671,36677100,15162056,2968600,11011600,50079400,14865500,4546900,614460,95672100,21830100,3062600
