Price,Close,Close.1,Close.2,Close.3,Close.4,Close.5,Close.6,Close.7,Close.8,Close.9,Close.10,Close.11,Close.12,Close.13,Close.14,Close.15,Close.16,Close.17,Close.18,Close.19,Close.20,Close.21,High,High.1,High.2,High.3,High.4,High.5,High.6,High.7,High.8,High.9,High.10,High.11,High.12,High.13,High.14,High.15,High.16,High.17,High.18,High.19,High.20,High.21,Low,Low.1,Low.2,Low.3,Low.4,Low.5,Low.6,Low.7,Low.8,Low.9,Low.10,Low.11,Low.12,Low.13,Low.14,Low.15,Low.16,Low.17,Low.18,Low.19,Low.20,Low.21,Open,Open.1,Open.2,Open.3,Open.4,Open.5,Open.6,Open.7,Open.8,Open.9,Open.10,Open.11,Open.12,Open.13,Open.14,Open.15,Open.16,Open.17,Open.18,Open.19,Open.20,Open.21,Volume,Volume.1,Volume.2,Volume.3,Volume.4,Volume.5,Volume.6,Volume.7,Volume.8,Volume.9,Volume.10,Volume.11,Volume.12,Volume.13,Volume.14,Volume.15,Volume.16,Volume.17,Volume.18,Volume.19,Volume.20,Volume.21
Ticker,AAPL,BP.L,BT-A.L,CMCSA,FDX,GRI.L,GS,HSBA.L,IBM,JNJ,LAND.L,LLOY.L,MCD,MSFT,NG.L,NXT.L,PEP,PFE,SHEL.L,TSCO.L,VOD.L,WMT,AAPL,BP.L,BT-A.L,CMCSA,FDX,GRI.L,GS,HSBA.L,IBM,JNJ,LAND.L,LLOY.L,MCD,MSFT,NG.L,NXT.L,PEP,PFE,SHEL.L,TSCO.L,VOD.L,WMT,AAPL,BP.L,BT-A.L,CMCSA,FDX,GRI.L,GS,HSBA.L,IBM,JNJ,LAND.L,LLOY.L,MCD,MSFT,NG.L,NXT.L,PEP,PFE,SHEL.L,TSCO.L,VOD.L,WMT,AAPL,BP.L,BT-A.L,CMCSA,FDX,GRI.L,GS,HSBA.L,IBM,JNJ,LAND.L,LLOY.L,MCD,MSFT,NG.L,NXT.L,PEP,PFE,SHEL.L,TSCO.L,VOD.L,WMT,AAPL,BP.L,BT-A.L,CMCSA,FDX,GRI.L,GS,HSBA.L,IBM,JNJ,LAND.L,LLOY.L,MCD,MSFT,NG.L,NXT.L,PEP,PFE,SHEL.L,TSCO.L,VOD.L,WMT
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-03,189.97401428222656,470.1065979003906,124.14807891845703,35.53918457,233.7405548095703,229.99362182617188,305.78985595703125,626.2794799804688,122.23533630371094,150.51502990722656,587.0656738,44.171085357666016,276.58685302734375,330.8927001953125,1045.2476806640625,6975.29541,168.91371154785156,30.911849975585938,2376.873779296875,251.77752685546875,74.19056701660156,51.13658524,191.37567043424474,473.7512465920615,124.14807891845703,35.590246641993616,234.51480404386706,232.39147936463837,308.40201219638266,627.1776107069439,122.85717366220584,151.47330731596077,588.8628014583318,44.31590905,279.9264559772368,333.7415980832822,1049.7422956310843,7003.268522657593,168.9501092535387,30.98775914608385,2401.3467389912535,252.17716762536602,75.17884074049665,51.21416093779061,189.2830440838622,461.3944723782618,122.15132651890964,34.79878626291079,232.44696975027756,226.39685838613636,301.8576069339109,620.8908783418253,121.50376868633118,150.1556741214696,574.2860250888887,43.821513554186986,276.5493213570426,329.5025348266666,1039.7542623710358,6887.379913723458,166.97520390486022,30.65881726229649,2347.406338032215,248.97999573023324,73.84117809,50.532126580035445,191.27695610256632,461.9686072399702,123.39929676862675,34.87538110240695,233.32509767564187,232.39147936463837,301.8576069339109,621.6891829282833,122.0067223,151.42723317730412,575.0847417091837,43.861465706026564,279.354234,332.06751392034784,1041.7518690230456,6911.356867296038,167.7305847521904,30.785333618941213,2354.898060387637,250.67849187027397,74.11070451347071,50.687281683614714,31458200,58834740,27839339,8939646,1281600,1606904,1106800,21193781,1477100,4033700,2659781,90072762,1601300,12508700,7232062,441525,2389000,14115800,16897005,12051575,50009164,8647500
2023-07-04,189.41632080078125,469.55743408203125,124.7970199584961,35.42004395,234.10406494140625,232.3914794921875,302.7189178466797,623.3856811523438,122.49595642089844,150.2662353515625,596.0514526367188,43.826515197753906,277.5530700683594,330.9709930419922,1047.245117,6967.303223,169.3596649169922,30.831719398498535,2377.872559,247.5812530517578,73.53172302246094,51.12204360961914,,472.10366635211506,125.64563817081275,,,235.58860763345476,,626.8783173639629,,,606.0355640711697,44.38083900626491,,,1050.2415266787375,6983.287858670374,,,2387.861521242747,253.1763004018024,74.72963015,,,467.2608336216668,124.04823783874512,,,230.79290779899912,,622.2879589417896,,,582.0736966284875,43.826515197753906,,,1042.9752092776437,6928.940193784828,,,2365.3863552825037,247.5812530517578,73.53172302246094,,,469.5075199091406,124.54742591857911,,,231.5921936455933,,625.6808299100594,,,582.6727189392825,44.27097247700363,,,1045.2475108600083,6951.318586642125,,,2374.376421666601,253.1763004018024,74.28041688,,,34711932,98434407,,,745434,,8538299,,,2538934,167430547,,,6037902,390065,,,6393436,51577814,45418677,
2023-07-05,188.85862731933594,459.1228332519531,123.84857940673828,35.30090332,234.4675750732422,230.39329528808594,299.6479797363281,620.5916137695312,122.75657653808594,150.01744079589844,596.6503906,43.776573181152344,278.5192871,331.0492858886719,1026.2703857421875,6947.321777,169.8056182861328,30.751588821411133,2326.429443359375,248.58035278320312,72.54344177246094,51.10750198364258,190.48730854754436,468.2094376359823,124.79703381694448,35.539191882536166,236.40320511741965,238.33316253875324,303.91729424390775,622.6871712330985,122.82058120126673,151.04022473634348,597.8484960154461,44.21104047893625,278.9039079582483,334.47579046215725,1048.7434598825273,7003.2679981564115,169.90572934556732,31.22391280394806,2375.0356487018094,250.87832530328168,74.30836812340375,51.433974,188.15779163185775,458.1742506152011,123.29946941114113,34.98601990283321,232.4563916605615,229.39419169229217,299.2547691900009,616.3006117808303,121.24771578965442,149.94372499137918,586.8659749896714,43.466949698670156,276.3522986066125,327.7011181507027,1026.2703857421875,6927.340984,168.34036399093054,30.692548725774504,2317.938824952954,245.4671063917345,72.12417503954329,50.858605684984475,189.09553270560195,467.8100328166849,124.79703381694448,35.394516560330736,232.4752800026873,233.59042374560377,303.2993919568221,619.4938915069645,121.91527870569881,150.18330487102978,589.2621857705635,43.64673058397631,276.8400957516778,328.05354428027886,1044.7482467020225,6927.340984,168.3676657446895,30.852803171740128,2373.377568665468,246.58211846058143,73.32208216676734,51.12366374466804,46920300,34390086,52658527,13846246,1613300,785890,2561000,39669655,2955100,7224600,2654939,191321250,2356000,18172400,11405718,356379,5277100,26829400,15663783,12916919,139320901,17585400
2023-07-06,189.33241271972656,449.28729248046875,121.30270385742188,35.07111740112305,233.8538360595703,220.40225219726562,293.0474548339844,609.1156616210938,120.8544922,148.90257263183594,571.6901245117188,43.247215270996094,276.66192626953125,334.1037902832031,1018.779297,6577.003906,169.82382202148438,30.051546096801758,2262.000488,249.07989501953125,70.61680603027344,50.78425979614258,189.53970680413252,459.17270493219246,124.19799625478616,35.258343836949855,235.4212371462066,232.1916620500023,298.32794025874796,615.7306806778812,122.44563648501556,149.61206112628903,593.2558390626748,43.95634884580961,278.21913278930595,335.78767385230776,1033.7613453584559,6786.844504899726,169.96033078862098,30.59134319428645,2315.9408841157333,249.97909430757943,72.47356749880407,51.13012666389144,186.75612514844465,448.7380842776549,120.65375782778763,34.78176336108751,232.8907323,220.40225219726562,292.89765078943077,606.8204524014528,120.29667354377035,148.34971094226987,568.8945858490501,42.97654571936691,275.2735407014628,328.45496307477555,1010.7888710171568,6577.003906,168.2675526413525,30.043109957341034,2261.5010401716713,247.63017208883434,70.49701988140575,50.70668408239938,187.3878577490578,457.62496960349483,123.29945618429302,34.977504183209646,232.8907323,232.1916620500023,297.72872408053365,613.7059582469152,121.84210621017655,149.50149441231852,590.6599338530613,43.29715355752364,277.03715710114295,330.21715360852994,1024.7721162683824,6786.844504899726,169.10483881601846,30.53230308783934,2309.947506800791,248.58033647165627,71.86462918836617,51.049317858077686,45094300,29972317,25995794,13211167,1712900,827148,2896900,19028428,3507700,6332500,2820561,218259259,2569600,28161200,6603499,399196,5592100,30177300,10705039,29553925,144399760,14427000
2023-07-07,188.21701049804688,452.8819580078125,122.05149841308594,35.25834274291992,237.2341309,217.60475158691406,295.0791016,608.6167602539062,120.78133392333984,146.73716735839844,571.2907715,43.04246902,274.0165100097656,330.13885498046875,998.0041504,6652.946289,166.6202850341797,29.967205047607422,2279.980957,246.1824493408203,70.58686065673828,49.61412811279297,190.1813114167851,455.82762516782816,122.85020247199867,35.64130652503703,239.00926050867014,225.39776215933165,297.1388426315108,613.4765086258177,122.39992473280466,148.3865145759663,573.2875934,43.22224991201169,276.13657715562124,334.61289857162126,1013.8232078473479,6652.946289,169.16855519975996,30.169630596650087,2297.9610916321535,248.18068355704554,70.73660096139963,50.51920146354538,187.7827065576724,447.2402859376105,120.75360622160434,34.849846194555674,232.9945983191776,215.206894,292.7665536994068,605.4234810536186,120.47956180947423,146.69109322229662,564.5015890491187,42.63296896125242,273.50054255085325,329.92347347630437,993.2099073154812,6487.072290266409,166.57477748199955,29.81538669018666,2248.5157214796686,244.4839533060923,69.72835770052872,49.60119944471672,188.9375920522482,450.88490379020976,120.95328604483574,34.99452147810988,232.9945983191776,225.39776215933165,293.23468056584517,607.0200902,120.50699436950845,147.86130879199195,569.0942551540412,43.15732670766075,275.5362135324258,332.19476390626494,1011.787622092454,6553.022193402204,169.11395169192588,29.95877212439291,2254.0096514966112,247.8809606208655,70.69666970574939,50.364046349061226,46815000,29769711,16714886,15309529,2423500,1152423,2903100,34212718,2982700,7022200,1666244,92266441,2586500,21214800,4825810,306354,6309900,22903300,11206305,9343967,57910936,19774800
2023-07-10,186.17373657226562,453.8805236816406,121.8019027709961,35.61577606201172,237.64959716796875,217.40492248535156,296.2962951660156,605.6229858398438,121.53118896484375,146.97674560546875,565.6995849609375,42.99251937866211,276.2585449,324.8620300292969,987.6165771484375,6684.921875,167.73060607910156,30.093713760375977,2302.456055,246.1824493408203,70.51697540283203,50.06343460083008,187.53591601497686,459.82076707602846,124.14808544031483,36.04980189852935,238.44273471568977,220.48214777587287,299.6761582846232,609.6145690428568,121.66836572807365,147.70468046178996,572.6884611793516,43.29215667834867,277.3185928523053,328.1906587789502,1003.2977993455634,6688.918838751869,169.19586041274448,30.37204519986062,2325.9301185856157,248.08078099342458,71.18580672796908,50.26384191480278,184.62400893826026,453.4811188987095,119.9049863683744,35.52216285005392,235.41181108418982,217.0052719478682,295.85625465702367,605.1240379394671,120.43384462645612,146.50682312115572,550.3240938433253,42.847699509872555,274.2322639326796,320.71107354380314,986.6177739634245,6608.979563714499,167.25735252327226,29.97563356074951,2286.973161478105,244.78369148758952,70.14761704,49.88241844050188,186.8153345366687,453.8805236816406,122.30109089710673,35.52216285005392,236.48821615826404,219.60294708362787,296.48355738898385,607.8183079,120.48870975035196,146.90302979344548,552.7202434124542,42.932594966762025,274.2979372056732,327.57388310031735,999.3025866055114,6622.968936846039,167.52128799913984,30.000935541399716,2288.970954150285,245.58298822314308,70.85638723189592,49.95999785183966,59922200,21957479,22754376,20940622,1573000,834261,1775800,19834643,2369200,5739200,1388766,84664497,1703700,32791400,5470274,246281,5508800,17777500,7398367,8927174,73143632,12967800
2023-07-11,185.65060424804688,459.5721435546875,122.05149841308594,35.75194168,243.9852752685547,221.60116577148438,300.4250793457031,599.6356811523438,122.9394531,146.1658935546875,581.0751953,43.31712723,276.49298095703125,325.4886169433594,987.017334,6806.828613,167.43936157226562,30.380483627319336,2317.439453,245.1833496,70.91629028320312,49.98908996582031,186.85484691926047,460.32103895428776,122.4508504425423,35.98172272195896,244.43850907427264,222.60026930044046,300.5748833601426,604.7249259685941,123.04918336761236,147.70467415788366,585.0688392665378,43.31712723,277.2059394038542,325.8704119772488,992.01135,6806.828613,168.1219331783938,30.397352688171807,2322.433934705011,247.18059302153102,70.94623682196075,50.26707670049723,184.18972537508213,452.9319437727583,120.45409791226687,35.428550888544336,237.9234135910299,218.60385518461607,294.5266641374491,596.9413499939093,121.83295534919667,145.21682536265547,569.4936522210587,42.66792191889574,273.70684905037945,320.13347775646093,979.1307878,6686.919712,166.01961485343182,30.04310884515862,2289.9698044349407,243.98441204373205,69.60857398339637,49.73373117674432,186.71665587805697,455.4282617714258,122.30109247937037,35.726412378540765,237.94230193483105,222.60026930044046,298.50574219712917,603.2280820924342,122.22617864104038,146.62660681527987,569.6932857,42.92760328044137,277.00894827501594,324.10822129809816,990.2135164,6700.9090840669505,167.80340809437357,30.059977906011092,2300.4582157529635,246.18246678829718,70.22748942734349,50.027879672796175,46638100,26070869,13255699,16701218,3039400,2329717,2041700,33207359,2924000,6606700,1903876,237726887,1529600,26698200,11296376,296543,3914300,17731300,8106256,23969116,124890951,11460900
2023-07-12,187.31878662109375,466.0625915527344,125.34613800048828,36.03278732299805,247.0161895751953,229.79380798339844,305.59320068359375,614.5042114257812,121.47633361816406,145.6591033935547,603.2399291992188,44.47071838378906,277.30914306640625,330.1192932128906,1007.2930297851562,6956.714844,166.70217895507812,30.355182647705078,2349.403809,250.17893981933594,72.52348327636719,50.11515426635742,189.22385000348103,473.15214108598497,126.39442846573958,36.20299192127284,247.97930777407848,230.59309384279743,312.1001753001751,615.4023419938081,123.75333411754139,146.45153074913884,607.0338787537959,44.83227656,278.7069185082063,334.4758316380157,1008.2918329877197,6994.685996,168.01271860176004,30.574474011143916,2366.385043604844,250.67849841741395,72.57339163289167,50.389907906741854,186.03557542450565,460.2930860173298,121.80189935762384,35.879601106181326,244.93893287823235,220.40224105951214,303.58026095147716,599.2364181164004,121.22944054076123,145.47482090478337,581.8739097493926,43.43198539674092,276.92455084346426,328.62142222429776,984.6201848945459,6798.834788404913,166.52925860073063,30.29613932404843,2317.938579014369,245.38318947404196,71.18581289411601,50.04404104,187.22993768452707,461.02004115508964,121.85182121563842,35.93917410115711,245.42991453784134,220.40224105951214,303.8892120994151,600.4339052381945,123.5155805770267,146.45153074913884,582.6726263495924,43.49690477966398,278.45361554642346,329.53188638120173,988.2159130010398,6826.813532390118,167.43935403459815,30.53230296634158,2323.432507988547,245.58300986420946,71.34553791365387,50.202429256765775,60750200,67993693,18468163,19035280,2068300,1229684,2741300,38283911,3732200,6940400,2237181,376682366,2156000,29995300,7412697,646600,6080100,17229700,13275230,32671222,412049065,16509900
